id,premise,hypothesis,lang_abv,language,label
c3f8376f55,في نوفمبر، أرسلنا رسائل لنشارك معك قصة نادي الأولاد والفتيات، مكان رائع وإيجابي للأطفال والشباب في مجتمعنا,نحن نرسل خطابات في نوفمبر,ar,Arabic,0
3452ac0870,obvious constrain bondag black nonetheless forg cultur rich religi observ folk tale famili tradit song,tradit life hold back,en,English,1
25543da9d7,right yeah that alway handi credit card whatev might need,necessari credit card,en,English,2
ec6ff0e2ca,اور یہاں میں سوچھ رہیں ہوں کہ وہ کر مجھ پر چلاۂگا کے میں نے ابھی تک یہ کام کیوں نہیں کیا,مجھے معلوم تھا کہ وہ یہاں آنے والا نہیں۔,ur,Urdu,2
7b6aad7a56,uh may mexican pizza sometim togeth um along see realli funni know normal goe straight veget except shes french fri,french fri popular countri,en,English,1
981343f1b5,expens includ calcul net cost educ train program intend increas maintain nation econom product capac shall report invest human capit requir supplementari stewardship inform accompani financi statement feder govern compon unit,net cost educ program calcul way increas product,en,English,0
375b4cde24,detail english explan plot alway provid wireless record commentari unit sometim avail,detail plot written english alway avail audio commentari sometim avail,en,English,0
c7088a021e,theyll theyll say yeah didnt buy didnt tri someth mainlin,theyll ask didnt someth mainlin,en,English,0
27df997f77,wakala wanahitaji kua na uwezo wa kupima mafanikio,wakala wanaweza kujua kama wamefanikiwa kwa kiasi cha fedha wanachokuza,sw,Swahili,1
ae082f8cf1,,,el,Greek,1
0c85cba3de,okay ill keep mind yeah serv famili,think forget need remind,en,English,2
06f3652672,,,el,Greek,1
acb26f0a89,individu surviv curv probabl surviv beyond given age shift result environment qualiti improv,peopl live longer get plenti fresh air,en,English,1
fc616c148a,beweis besttig bericht,ehemann geschicht besttig,de,German,1
de6b8ff5bc,first acknowledg mayb even someth disaffect fallout global pollut cultur disloc,acknowledg fallout global,en,English,0
e54f205e88,gin gi chi ph cho vic tnh ton chi ph ca th bn,chi ph ca th bn thng hi nhiu hn cng vic chia,vi,Vietnamese,1
3a2d890d4e,yeah ill uh sometim ill put pour back saucepan ill put egg dish beat pour cornstarch milk mixtur egg,sometim put egg dish add cornstarch,en,English,0
720d60e041,tng tng khng phi qu thng thng lin quan ti quan liu,cc quan liu thng khng giu tr tng tng,vi,Vietnamese,0
d72f9b3562,ایک معنی میں، یہ غیر معمولی لگتا ہے کہ اسپینر کے کاموں کے لئے ہم نے تاریخی شعبوں کو برقرار رکھا ہے ابھی تک اس کے معاصر، ولیم شیکسپیر کے عنوانات کے عنوانات کے لئے جدید معنوں کا استعمال کرتے ہیں,ہم جدید معنوں کا استعمال کرتے ہیں لہذا ہم ایک دوسرے کو الجھا نہ دیں,ur,Urdu,1
f77c706bde,well way travel light,wont need pack much,en,English,0
6431556796,дет посеща наш программ заран готов театральн опыт рамк учебн план,дет смотр наш шо прежд приступа выступлен самостоятельн,ru,Russian,1
3d5b51d648,multicolor reef dweller parrotfish french angelfish along weird shape coral crawfish turtl hide crevic view clear water visibl ft common,often hard see turtl wellhidden,en,English,1
9de080bd9c,jon drew stab man throat,jon wipe blade stab man throat,en,English,1
256219807c,think yeah think think that real import,truli believ that realli import,en,English,0
a80324fe29,yardm toplama katlmclarn ok iyi giyimli olduu bir dilenme eklidir,iyi giyimli dilencilere bazen ba denir,tr,Turkish,0
63d2b3744d,nipa measur reflect govern save affect nation save avail invest unifi budget measur common frame refer discuss feder fiscal polici issu,nipa measur reflect govern save affect nation save avail invest unifi budget measur common use,en,English,0
d044b85b65,,,hi,Hindi,0
9768d03591,good hard believ didnt think anybodi countri hadnt seen one,wow didnt think possibl someon countri seen,en,English,0
56352bb4d3,بالطبع، يمكن لتفصيل المحتوى هذا أن يكون مدمرًا للمجلات مثل سلايت,لقد عانى سليت فيما مضى لتصنيف المحتوى,ar,Arabic,1
831bac2b58,today strait busi commerci ship ferri fish boat wood shore line pretti fish villag old ottoman mansion villa istanbul wealthier citizen,istanbul still consid third world countri,en,English,1
8439fdd876,dont know place call uh probabl someth similar call servic merchandis,usual similar place anywher go,en,English,1
0d1d05b935,,,hi,Hindi,0
eb858b71cf,غير أنه في القرون الماضية كانت تُطارد القراصنة الكاريبيين، بعيداً عن قبضة السيادة الاستعماريين في هافانا وسان خوان في بورتوريكو ومدينة بنما، وهي أقرب المواقع الاستعمارية,كان هناك قراصنة في الكاريبي,ar,Arabic,0
2cc83b3874,nhng ni ng tham quan khc bao gm nh ca balzac rue raynouard studio ca delacroix rue de furstenberg,nh ca balzac studio ca delacroix khng im ny,vi,Vietnamese,2
2a7682a3bb,โปรแกรมสำหรับเพื่อนอย่างเช่นสัปดาห์สำหรับผู้นำห้องสมุดรุ่นเยาว์ความรักคือการอ่านด้วยกันมุ่งเน้นที่เยาวชนและปลูกฝังนิสัยการรักการอ่านในช่วงวัยเยาว์,โปรแกรมมุ่งเน้นไปที่การรับเด็ก ไปเล่นข้างนอก,th,Thai,2
23b19c0160,portloui way grand terr west coast point pitr extend vast mangrov swamp,portloui way point pitr extend vast magnolia swamp,en,English,2
bdf8e50317,think mrs inglethorp made leav money miss howard ask low voic curios,yell top lung,en,English,2
9ee3ee5a7a,,cr,hi,Hindi,2
9724069fa7,avant don fess pourquoi laisseraistu just avoir grand verr chocolat lait dabord,voudr verr lait chocolat,fr,French,0
63e20bcc02,ingeweza kuchukua angalau mara nyingi maisha ya sasa ya ulimwengu kwa ulimwengu wa kusimamia kufanya kila protini iwezekanavyo wa urefu angalau mara moja,itachukua miaka michache tu kutengeneza protini zote,sw,Swahili,2
ee999eef48,know think theyr go money job success everyth job end homeless know anybodi money terribl,think theyll money success end noth,en,English,0
29666369c9,veuill vit enlis list donateur prim,list donateur dchus publ publiqu donc croyezmoi voudr tre humil cet manir,fr,French,1
d20f3f7313,put refriger,dont refriger,en,English,2
2dfd4c4226,christ crutch lose support stab david geffen kitchen knife,extrem polit devot,en,English,1
703fdf2f97,ida special lowincom saver receiv match fund feder state govern well privat sector organ incent save,ida special lowincom saver receiv differ fund feder state govern,en,English,2
fab5b7fe4f,one thing mr franklin appear take yourreactualisationextrem well,mr franklin take situat well,en,English,0
783120a0c2,yeah im im sort act process engin offici that pretti much yeah,im sort act process scientist offici handl mail week,en,English,1
9e04a7ea9d,دو حوالہ لائبریرین ایک تلاش شروع کرنے کے طور پر نقصان میں تھے,ایک تلاش کی ضرورت تھی لیکن دونوں ریفرنس لائبریرینز کو علم نہیں تھا کہ اس عمل کو شروع کیسے کیا جائے,ur,Urdu,0
fc00d43a75,afterward,narrat respons take care,en,English,1
f88e8731d2,mean dont know someth think someth need,think complet unnecessari,en,English,2
19ed6f44cc,gallic subjektifinin anlalmazlklar onu hi endielendirmez iyi sebepten denemek zahmetine bile girmez,endie duymuyor nk denemiyor,tr,Turkish,0
aca540d2cb,amig oper dos nivel citywid friends branch friends pued activ ambos nivel,separ nivel amig igual,es,Spanish,2
bda5e84b6b,saw whole new model develop holist approach lawyer onestop shop said,discuss conveni holist lawyer,en,English,0
9d8ef27f94,movi doesnt come much though,movi didnt amount much,en,English,0
7abf9a0b9f,like moodi blue,moodi blue absolut favorit band,en,English,1
983a294ad5,بحالی کے ساتھ ایک معیشت میں، کیا ہوتا ہے، اگر ہم تجارت کے اپنے فوائد لے سکتے ہیں اور کسی حد تک سرمایہ کاری کر سکتے ہیں تو ہم اس سے زیادہ راستے پیدا کرسکتے ہیں,ہم ہمارے ارد گرد کسی کے ساتھ تجارت نہیں کر سکتے ہیں,ur,Urdu,2
75864385fa,one yearold white hous assist interrog tripl murder took place starbuck georgetown,one white hosu interrog regard murder,en,English,2
d2d498f695,parttim work know restaur favorit restaur town salisburi actual live know ill return job whatev normal eat um fourteen dollar,first part time job restaur salisburi could eat,en,English,1
477d3f740f,,,hi,Hindi,1
88b3d9f699,,,hi,Hindi,2
c5a228c2bf,data would present requir supplementari stewardship inform accompani consolid financi statement feder govern individu report compon unit,data necessari look big pictur within feder govern,en,English,1
7a2023e452,run editor paul william jann wenner saw rock star modern poet voic generat,featur long exclus interview rock star,en,English,1
a601ff9b6e,drive around countri dilapid icecream truck tri keep cool,use ice cream truck tri keep get warm,en,English,0
bf7468f45e,ندوب فينوس طفح جلدي ينتجه مرض الزهري الثانوي,لا توجد أعراض مرض الزهري,ar,Arabic,2
286810dc27,uh weve gotten littl atari comput uh husband describ comput train wheel,play certain game atari enjoy,en,English,1
d8cb3b7eb5,one citi attract shop center around place darci rue de la libert hunt region delicaci famous mustard pain dpice gingerbread cassi blackcurr liqueur turn ordinari white wine delici refresh kir,big shop centr locat around place darci rue de la liberti,en,English,0
d151c92a8e,exact head coupon issuer alan greenspan believ would,greenspan dont think,en,English,2
98d0d2e28f,,,hi,Hindi,0
e1805bc7b9,room outfit leather sofa three foldout bed student exhaust full day hard work,two bed per room student,en,English,2
cba4e0ac5a,اسکی بہن انگریز لگ سکتی تھی اور واقع میں انگریز لگتی بھی تھی,اس کی بہن بہت گہری رنگت کی تھی۔,ur,Urdu,2
26005a2ea9,divis issu whether mass sacrific remiss sin statement affirm christ death upon cross,statement end controversi whether mass sacrific remiss sin,en,English,1
d2455f8a6b,,,el,Greek,0
324878f339,entwicklungskommitte ima verdoppelt dezemb eingegang spent dollar fr dollar,ima dezemb aufhr zusag einzuhalt,de,German,2
c2a3ee20e8,tell scribbl word envelop help discov made yesterday afternoon poirot smile,could figur written yesterday,en,English,2
d056374191,ngy cng nhiu bng chng chng minh rng cc can thip ca khoa cp cu hiu qu iu tr cu th tc dng,gii thiu phn cp cu th dng,vi,Vietnamese,0
9c30aac0f3,прош присоедин ко работ обновлен клятв поддержк университетск библиотек iupui рассмотрет возможн увелич сво вклад,iupui треб поддержк,ru,Russian,0
5bf4e5f171,لیکن بینچ پر اس کا کام معمولی لوگوں کی زندگیوں پر اثر انداز ہوتا ہے، جیسا کہ زیلون کے مطابق ایک ایک کرکے,اُس کے کام کا جُھکاؤ امیر لوگوں کی طرف تھا,ur,Urdu,2
e6a7518d49,كرهت ذلك وكانت تخبر شقيقتها كل يوم وقالت إنك تقوم بعمل خاطئ,أوضحت بشدة أن أختها لا تستطيع أن تفعل أي شيء بشكل صحيح,ar,Arabic,1
c1cd160571,tourist inform offic help,tourist inform offic unhelp,en,English,1
80d3803786,know know theyr gon na know tri realli watch like say know realli dress know theyr know ive lot reorgan know last coupl month way know imposs crawl floor dig box dress know,spend lot time tri watch,en,English,1
b624494c06,one darker skin hair braid two line,braid hair keep way combat,en,English,1
a8ac08e022,ذاتی طور پر، پروڈی سال سے زیادہ عمر رسیدہ لوگوں کے محبوب اور محبوبہ کے لیۓاتنی پر جوش نہیں ہےاور اسے معشوق کی اصطلاح سے نفرت ہے جب تک کہ وہ یورپی خواتین نہ استعمال کر رہی ہوں۔,پروڈی یورپی خواتیں کے اردگرد ہونے سے لطف اندوز ہوتا ہے۔,ur,Urdu,1
05cc839a7c,yeah well that realli immigr,immigr,en,English,0
8f8308085d,fruit veget electron littl bit everyth els sale,myriad thing avail purchas,en,English,0
ddb8d3db83,bn bn cm tri hoang khng,ti ngh bn tri,vi,Vietnamese,1
24dea23ade,หลังจากที่ที่คุณพาทุกคนเข้ามาแล้ว คุณสามารถไปได้จากที่นั่น,คุณควรจะหยุดตอนนี้,th,Thai,2
8ed6d09600,taken oh okay oh know well that wonder sometim knew lot lot effort lot work went lot wonder last took know like yeah,cost lot money put forth effort,en,English,1
cf58108ce6,detail english explan plot alway provid wireless record commentari unit sometim avail,detail plot written english alway avail audio commentari sometim avail that voic morgan freeman,en,English,1
e6f845b6bb,yeah okay go ahead,go ahead,en,English,2
eefd722680,anyon know happen chao,happen chao,en,English,0
05c013a076,analys compli inform requir section includ class small entiti subject rule altern consid reduc burden small entiti,analys tri follow inform requir relev small entiti,en,English,0
22abc5122f,that opportun peopl,mani peopl get chanc swim shark,en,English,1
ac2b451e90,univers nevadala vega boast student popul though like peopl las vega commut,student univers nevada,en,English,1
37d31bf613,know ballll go straight go never broke club anyth know id get upset sometim guess know forti kind mellow littl bit dont get upset,use get upset anymor,en,English,0
d832a824ce,,,zh,Chinese,2
c3baa0668b,donc sembl tr tranch,design tait horribl,fr,French,2
7dbf3a5481,allinclus unit villa great hous tropic set overlook caribbean,allinclus unit consid villa kitchen well,en,English,1
ecc1d3c0d0,,,zh,Chinese,1
786fa547d8,counterweight singapor chines would bring north borneo state sabah sarawak grant special privileg indigen popul fund develop backward economi,state sabah sarawak grant special privileg indigen popul,en,English,0
dc4cc82b3f,ovitz deal howev contain none goodi,ovitz deal contain altern goodi,en,English,1
24a7bf81fb,parent uh sail uh last year uh costa rica took two week went dont even know name river went white water raft mom said absolut wonder experi said truli incred,last year parent went sail near costa rica,en,English,0
91c1d4c18e,laguna nichupte,nichupte,el,Greek,1
43793c3f44,komplex hher ordnung molekular vorricht entsteh natrlich selektion lag kollektiv eigenschaft molekular aggregat einzuwirk kollektiv eigenschaft anpassungsfh erhh,molekular gert gleicherma kompliziert,de,German,2
dd946a3258,และเราก็ทำมันมานานกว่า ปีแล้ว,พวกเราเพิ่งเริ่มทำอย่างนั้น,th,Thai,2
86a0e2d4d9,extens bibliotec present diaposit varied tem teatr,teatr much diaposit actuacion pas,es,Spanish,1
69e64a94f1,,,hi,Hindi,2
8f9b6fbbfb,roller coaster well experienc rider consid slow unev despit altitud,rollercoast slow peopl,en,English,1
d4bef423a6,,,el,Greek,2
c8e9c23441,trapeci entrecruz represent prdid bienest merc empres corre dad pued cambi,prdid merc provien trapeci sombr pued cambi,es,Spanish,0
bac217d001,гляд будущ примерн трет ответ организац сообщ рассматрива возможн дальн передач функц контрол дизайн внешн исполнител,одн агенств рассматрива передач аутсорсинг функц проверк дизайн,ru,Russian,2
5d944796cc,,,zh,Chinese,1
23bf7b91be,alway pay someon els cut fertil um edg um think year im go landscap put,still garden landscap,en,English,2
0905e1f134,explosion ttet sech mensch verletzt etwa weit entdeckt schwachstell notfallvorsorg world trad cent stadt,wurd vorkehr getroff bedenk hinsicht sich explosion auszurum,de,German,1
dd56438c9e,felt offhand dagger weight small back,knife back,en,English,0
5d16327c66,long bay seven mile sublim fine sand gentl azur water cool palm tree,long bay measur seven mile,en,English,0
c9c179361f,в това стихотворение хоакин живее и бяга с кораб до мексико или южна америка а обезглавеното тяло всъщност е на неговия добър приятел рамен,мъртвото тяло принадлежи на рамен,bg,Bulgarian,0
68e2f3acf7,,,hi,Hindi,1
eaf18b068b,delta rhne two arm spill mediterranean camargu reclaim sea form nation natur reserv,reclam effort contract dutch compani special dike sea water manag,en,English,1
b1ad65008a,,,en,English,1
3801628f9b,fine weav pattern typic scottish weaver attent detail,scottish weaver known attent detail exemplifi fine weav pattern,en,English,0
1cab4b9a4c,report biggest payment made case hard nick texaco annual revenu billion,biggest payment made bare hurt profit,en,English,0
903ea31eaa,,,hi,Hindi,1
5c0c3aaf1a,trc khi tip tc ngi cng th mun th thnh tch ny,trc khi tin ln ngi th mun th thch ny,vi,Vietnamese,0
9d47ed4947,spectacl plus irrit ru new york lexcept bal nu donald trump dans fantm boss tweed voir tout mond train jacass tlphon portabl,donald trump peut dans,fr,French,2
6a5ca492d3,revert former point view,went back previous thought,en,English,0
af221db787,لتحقيق حالة أنظمة البناء من طاقم المبنى، انظر مقابلة fdny، الرئيس يناير,كانت جميع هذه الأنظمة بلا اتصال بالإنترنت في ذلك الوقت,ar,Arabic,1
19d070f815,dialogu reprsent vill dautr organis civiqu communautair concern dvelopp lart lhistoir lim,linstitut manag travaill manir indpend tous jour,fr,French,2
eaba2e05e5,singel da barrer extern ciud medieval segn ciud expandi herengracht canal caballer keizersgracht canal emper prinsengracht canal princes aument red,singel ciud interior,es,Spanish,2
8e72187720,soulv sauvag connu sous nom guerr cast a vu rebel mai massacr colon blanc prendr contrl pr deux tier pninsul,mai centain colon blanc,fr,French,1
b85abf123f,befried strand nhe batu hitam find,gibt strand nhe batu hitam,de,German,0
a8ea4fab86,aqu larg oil creek indi espum aceit superfici agu usos domstic colon blanc embotell fin teraput llam aceit snec,indi colon blanc usaron petrle oil creek,es,Spanish,0
719d59ba41,آئی ٹی کی مہارت بہت اچھی مانگ میں ہوتی ہے جس نے ریاست کو مشکلات کا سامنا کرنا پڑا، لہذا اس سی آئی او نے گھریلو سافٹ ویئر کی ترقی اور انتظام کے متبادل کے انتذمات شروء کئے,آئی ٹی کارکنان ان دنوں بہت عام ہیں,ur,Urdu,2
b0b1ca1fc4,,,zh,Chinese,0
da0a9295f5,,,hi,Hindi,1
f2ec605279,บุคคลที่สามได้แจ้งกับตำรวจว่า ที่พนักงานเคยได้รับคำแนะนำตรงกันข้ามจาก fdny ซึ่งจะมาจากทาง เท่านั้น,ทั้ง fdny และตำรวจใช้ระบบเดียวกันในการสื่อสารกับประชาชน,th,Thai,2
522fab54b5,twice seem show battl said adrin,adrin said werent serious battl,en,English,0
ed14d0f572,two challeng top dog,top dog face one challeng,en,English,2
f8d33b47f9,ہم تمام گریجویٹز سے ڈالر کا تحفہ طلب کر رہے ہیں,ہم اپنے ڈالر کا مقصد پورا کرنے کے لئے فنڈ ریزنگ کر رہے ہیں,ur,Urdu,1
3dcc6ea50f,vile haya yalitendeka disemba iliyopitaalipata kura mia moja,ilipita na kiwango cha asilimia,sw,Swahili,2
77984ce36c,talk send specialist pari,might sent pari london,en,English,1
98edcc579c,us get busi someth,need stay insid relax,en,English,2
dff73aefab,sant francesc take road lead southwest cap berbera southernmost point balear,cap berbera locat northeast sant francesc,en,English,2
862161c611,well station play uh type music,tv station documentari space travel,en,English,2
a2a649986e,egal darb wiss,wei davno besess,de,German,1
b90ddd3edd,although account report model need updat view current attest assur model also date,account model need updat addit assur model written,en,English,1
17db72e32f,mercred clinton a chois parl dun industr diffrent,clinton a parl mercred,fr,French,0
cb8d5a178b,,,el,Greek,0
3bd18904ac,orient spirituel encourag,conseil athe,fr,French,2
a87527f85c,technic howto three strategi summar later paper,three strategi improv discuss paper,en,English,0
13e3840de5,relacin permaneci cercan tiemp ee uu,nunc hab unid,es,Spanish,2
7b493b960e,ta khng phi rp xic chnh tr duy nht washington sng nay,ta khng phi ni chnh tr duy nht washington,vi,Vietnamese,0
b3a46f7e35,main gate churchyard lead greyfriar place across street find excel view one scotland newest museum,new museum built around two year ago showcas scotland natur histori,en,English,1
88637fc33a,oh yeah ibm uh mean uh lot peopl use human factor folk ibm im look right,ton peopl think human factor im look ibm right,en,English,0
2bffa884f9,herrnstein murray benutzt iq mess eigent massnahm fr bildung intteligenz,einzig ding herstein murray verwend iq bestimm alt geschlecht,de,German,2
0f69e3c7bd,gorges dapreamont gn th trn nh barbizon ni ting nh mt nh ca phong cnh th ca cc ha khng ng,ch ngi gorges dapreamont,vi,Vietnamese,1
8dc457e705,squat doesit uncomfort look,squat look uncomfort,en,English,0
711b8e0187,said web site help bridg digit divid keep poor use internet resourc,tell us websit design make harder poor get onlin,en,English,2
17e657c65e,pieata imefungiliwa mtini na kamba ndefu inayotumiwa na mtu mzima ambaye anaweza kuhamisha pieata juu na chini hivyo haitapasuka haraka sana,mmemetuko unarangi nyingi,sw,Swahili,1
d4d80fab67,ancient greek trade post town manag combin atmospher resort gutsi bustl citi life,histor town trade post use ancient greek,en,English,0
ef92714861,three day use gel mouth return familiar self,undergon oral surgeri,en,English,1
ed2eea997a,fix,ill take care fix,en,English,2
9bfd4dfd39,ina maana kila kitu kwa becky stephanie marcus na emily na wanafunzi kama wao,becky ni mwanafunzi,sw,Swahili,0
942faba52d,inquiri expand quick howev ask technolog fail examin contextu influenc,move inquiri technolog fail thought may someth els,en,English,1
32c4e38b48,tutaenda huko ndani,hatutawahi ingia ndani,sw,Swahili,2
53e11f463b,brendan gill aliyekuwa mkurugenzi mtendaji wa kundi la kata ya bexar alisema kuwa amekuja kuona ushirikiano kama hatua nzuri kwa texas kusini,brendan gill alipata pesa baada ya kuunganishwa kwa kampuni,sw,Swahili,1
3c3d3be4e2,اور یہ آپ کو بہت برا محسوس کرواتا ہے,اس سے آپ اچھا محسوس کرتے ہیں۔,ur,Urdu,2
dd4ba35692,wake one bright autumn morn your halfway subway decid walk work instead,decid ride subway instead take stroll work,en,English,2
a3efa4d449,peel edgerton,peel edgerton,en,English,2
e47073d5f2,doctor accept quit readili theori mrs vandemey accident taken overdos chloral,mrs vandemey took appropri chloral,en,English,2
d1ff9ebb77,لیکن بہت سے ایسے ہیں جو اب بھی ہماری مدد کی ضرورت ہے,ہماری مدد کی طلب بہت سے لوگوں کو ہے۔,ur,Urdu,0
7050b19dec,agricultur show,farm perform,en,English,0
151b747ac3,نیویارکر کے آدم گوپنک کا کہنا ہے کہ وینس بائینلیل پا پاپ آرٹسٹز کی طرف سے زیادہ سے زیادہ ہے، ان کے سالوں میں ان کے بہترین کام جم ڈائن، کلیس اولینبرگ سے ہٹا دیا گیا ہے، جو ساتھ ساتھ بیٹھے ہیں,وینس بائینلیل زیادہ تر ہے,ur,Urdu,0
3999f5ffa3,نعم لدينا بين الزوج وبين نفسي لدينا ستة,أنا أعزب لم أتزوج مطلقاً,ar,Arabic,2
28749e3db3,yeah mine general stay window theyr theyr,mine window unless take clean,en,English,1
47b763e1c3,first instanc ir would record time person could get agent discourag caller,ir get record time,en,English,1
81aa1d39cc,oh kumbe yako ni ya milango minne,una mlango mmoja tu,sw,Swahili,2
33a0e54b69,اوہ اوہ زبردست میں کہتا ہوں یہ تومہم جو معلوم ہورہا ہے,یہ ایک عظیم مہم جوئی کی طرح لگتی ہے۔,ur,Urdu,0
3b4ac89614,lamar alexander aliangusha jitihada yake ya urais,angalau mtu mmoja alikata tamaa kwa lengo lake la kuwa rais,sw,Swahili,0
454c52edcf,,,hi,Hindi,2
70c2f0939a,bien quil aujourdhui facil fair lamalgam entre ksm alqad ntait cas avant septembr,mme si person sen rendu compt ksm a toujour connect al qaed,fr,French,1
faf1397ccb,crossfir day patron even sam donaldson,crossfir even sam donaldson patron,en,English,0
1ef02d95aa,littl practic almost anyon flip interest rock format watch multicolour fish pass review,practic bit youd abl somersault rock,en,English,1
790966f0cf,notic long branch run tree right direct,notic long branch point right direct,en,English,2
be035f5cd6,sao na ti ngh ti ni chuyn vi ramona mt ln na,ti cha bao gi ni chuyn vi ramona,vi,Vietnamese,2
e6ff2a1001,tax record show water earn around,tax record indic water earn k,en,English,0
621792b3ae,нищо не подчертава повече едва доловимата комплицираност на езика колкото недоразуменията които се получават между пилоти членове на екипажа и ръководителите на полети,пилотите не винаги комуникират добре с членовете на екипажа,bg,Bulgarian,0
114ad7aa0e,describ six applic case studi method includ purpos pitfal explain similar differ among six,two applic case studi method,en,English,2
2b44c9396c,okay think hang dont think anyth els,dont anyth els put phone think,en,English,0
8c500e5974,monday question,question audienc monday,en,English,1
6623d90174,ہر کمپنی کی طرف سے استعمال کیا جاتا اہم آلہ ایک مصنوعات کے ڈیزائن کو یقینی بنانے کے لئے مصنوعات انضمام مرحلے کے اختتام تک مستحکم تھا ایک مظاہرہ تھا کہ ڈیزائن ضروریات کو پورا کرے گا,ہر کمپنی کی چابیاں استعمال کرتی ہیں,ur,Urdu,0
88d2229b88,show begin even pm relat melodramat fashion histori istanbul colour floodlight illumin spectacular architectur blue mosqu,histori istanbul subject show,en,English,0
6f53716114,ейбог знает вообщ придержива никак прав похож беспоко счет исключ,наруш прав,ru,Russian,0
cb373d459a,put coma,coma caus peopl around,en,English,0
1aca3c1bf2,also describ result scenario analysi term various margin cost associ emiss control strategi economywid impact scenario,includ descript impact price exact emiss control strategi,en,English,2
26601efa31,когато атаката бе определена като свързана с ал кайда отговорността се прехвърли върху полевия офис в ню йорк,нюйоркската полицейска служба се справи когато реши че ал кайда е замесена,bg,Bulgarian,0
2efebcee37,میں نہیں سوچ سکتا کہ آپ کو کیوں مصیبت کرنا چاہئے اپنے دفاع پر اپنے آپ کو ڈالنے کے لئے،اس نے اسے ناراض کیا,اس کی حوصلہ افزائی کرتے ہوئے، اس نے بہت سے وجوہات پایا تھا کہ آپ خود کو کیوں بچانے میں مصروف ہو,ur,Urdu,2
e5b1dddeaf,produc local grown restaur organ garden,produc local,en,English,0
b975cdef00,ir restructur reform act budget request administr various tax,tax,en,English,2
b44d322332,,,hi,Hindi,1
b4358ba5c9,эт сравнива сбережен,эт сравн,ru,Russian,2
247940ac05,might well see dont believ note tuppenc wellknown schoolboy write ran follow dear julius alway better thing black white,dont believ mayb look convinc,en,English,0
20296afa9f,watch river flow,river roar,en,English,1
6c2b7b4f22,held maryland wood telecast consist jitteri footag contest slow descent mad systemat stalk disappeareddisqualifi bob barker,show set florida,en,English,2
982b208e2f,darbenin etkisiyle birou ld ciddi ekilde yaraland dierleri nispeten zarar grmemiti,darbede herkes bir uzvunu kaybetti,tr,Turkish,2
f51985c28c,,,hi,Hindi,2
b607c97e57,function compon postal servic presum exhibit signific scale economi although demonstr,postal servic assum signific scale economi,en,English,0
ded8f162c5,qu supon pas m jeremy clar ahor volv cen as har blood baj barc esper,sangr meti bot,es,Spanish,0
8408f2795a,,,zh,Chinese,0
b9341250ca,save financ domest invest would increas net foreign invest improv current account balanc,current account balanc improv slight,en,English,0
9b72867c79,protest pierr du calvet nombr juez paz britnic lueg termin crcel vend suministr informacin invasor estadounidens,pierr arrest vend estadounidens cos,es,Spanish,1
2ec2956b98,ดร gentilello แนะนำเกี่ยวกับการพัฒนาการให้กับศูนย์การวิจัยด้านแอลกอฮอล์ของ ed,ศูนย์วิจัยแอลกอฮอล์ ed แนะนำมาจากใครบางคน,th,Thai,0
036c2c5051,although award hand annual bailey select sever year commit,bailey may sever time humbl experi time award given,en,English,1
228d2c02cf,لقد مررنا بذلك، وأصبح هذا سباق منذ ذلك الحين,لقد كانت دائما مسابقة منذ أن ذهبنا,ar,Arabic,0
9ec3c360e0,oh sorri wrong church,enter wrong church,en,English,1
51c78ab7d8,adrin third lesson,adrin first lesson,en,English,2
6ae1b842ad,dont miss openair market close wharv,open air market great place see,en,English,2
6cf833c52c,west side squar old king hous built offici resid british governor proclam emancip issu,old king hous incid king murder insid,en,English,1
0a2abaed54,эээ им вид чтот могут среза необязательн срежут имен,прост могл отреза,ru,Russian,2
422e7ca070,cane plantat increas hand american tycoon found readi market us,us market readi cane plantat accord economist,en,English,1
19bbc6bea7,,,hi,Hindi,1
4cb1c8149b,sinc death transform bob marley museum care manag marley famili protect memori life,museum contain work member marley famili,en,English,1
2720a1773f,вообщ говор слов возникл очен давн,большинств слов достаточн древн,ru,Russian,0
aea6334924,stop,stop run right,en,English,1
11f57e9635,viv aprend sab prueb eh avin,prob avion ense much cos,es,Spanish,0
341e5fb50b,сегодн гост токшо част проход цел тренинг уход ответ вопрос трехлетн ребенок имеет запас эффектн реплик,гост токшо знают избежа ответ вопрос,ru,Russian,2
075ce58e7b,อัมสเตอร์ดัมมีหลายแง่มุม มากเท่า กับเพชรซึ่งเป็นสิ่งมีชื่อเสียงของเมือง,อัมสเตอร์ดัมเป็นเมืองที่มีชื่อเสียงที่สุดในโลก,th,Thai,1
4cb1f12da5,realli enjoy friend watch program like want see particular program either home watch definit record program wont miss,program watch friend,en,English,1
648e299910,پروفائل مسافر کا نام ریکارڈ پر معلومات سے حاصل کیا گیا تھا اور عوامل شامل نہیں جیسے نسل، تخلیق، رنگ، یا قومیت اصل,مسافر کی شناخت زیادہ تر اس کے چمڑی کی رنگت کی بنیاد پر کیا جاتا ہے۔,ur,Urdu,2
443efeaf27,nguyn tc chung ca quyn bnh ng nh chng ta xy dng da vo ra lp lun hn ch quyn do ngn lun,tt ng do ngn lun,vi,Vietnamese,2
8eb745aafe,في أواخر وصلتني أوامر بالذهاب إلى واشنطن العاصمة,قالوا لي أن أذهب إلى أفريقيا,ar,Arabic,2
